year,sf_temp,ch_temp,bo_temp,la_temp,global_avg_temp
1849,14.12,9.34,6.58,17.17,7.98
1850,13.80,9.89,6.72,16.85,7.90
1851,14.39,10.17,6.61,17.15,8.18
1852,13.81,9.82,6.69,16.91,8.10
1853,14.40,10.21,7.12,17.79,8.04
1854,13.98,10.96,6.95,17.36,8.21
1855,14.20,9.71,6.92,17.58,8.11
1856,14.10,8.66,5.92,17.18,8.00
1857,14.78,8.76,6.64,17.79,7.76
1858,14.19,10.53,6.56,17.10,8.10
1859,13.71,9.76,6.57,16.64,8.25
1860,13.81,9.75,6.90,17.06,7.96
1861,14.88,9.62,7.04,18.11,7.85
1862,14.43,9.36,6.77,17.54,7.56
1863,14.43,9.73,6.92,17.54,8.11
1864,15.18,9.35,7.14,18.08,7.98
1865,14.32,9.92,7.49,17.45,8.18
1866,14.67,9.05,6.77,17.95,8.29
1867,14.46,9.43,6.42,18.20,8.44
1868,14.25,8.88,5.89,17.64,8.25
1869,14.57,8.73,6.68,17.63,8.43
1870,14.19,10.55,7.91,17.45,8.20
1871,14.34,9.91,6.63,17.75,8.12
1872,14.63,8.72,6.41,17.26,8.19
1873,14.46,8.84,6.00,17.45,8.35
1874,14.09,10.18,6.47,17.09,8.43
1875,14.76,7.80,5.28,17.89,7.86
1876,14.44,9.69,6.83,17.29,8.08
1877,15.03,10.68,7.79,17.52,8.54
1878,14.37,11.31,8.01,17.17,8.83
1879,14.20,10.11,6.85,17.59,8.17
1880,13.22,10.46,7.61,16.11,8.12
1881,14.39,10.25,7.35,17.36,8.27
1882,13.58,10.38,6.89,16.48,8.13
1883,13.93,8.42,6.18,16.97,7.98
1884,14.05,9.35,7.08,16.57,7.77
1885,15.05,7.96,6.33,17.83,7.92
1886,14.58,9.40,6.95,17.46,7.95
1887,14.38,9.64,6.80,17.54,7.91
1888,14.70,8.74,5.89,17.61,8.09
1889,14.81,10.02,7.98,17.80,8.32
1890,14.05,10.21,7.15,17.40,7.97
1891,14.46,10.29,7.91,16.91,8.02
1892,14.05,9.21,7.23,17.30,8.07
1893,13.40,8.91,6.43,16.97,8.06
1894,13.80,10.79,7.75,16.72,8.16
1895,13.95,9.32,7.27,16.80,8.15
1896,14.22,10.39,7.28,17.37,8.21
1897,13.81,10.05,7.53,16.90,8.29
1898,13.77,10.24,8.01,16.97,8.18
1899,14.04,10.12,7.53,17.15,8.40
1900,14.64,10.63,7.95,17.84,8.50
1901,14.34,9.87,7.29,17.62,8.54
1902,14.07,10.04,7.46,17.04,8.30
1903,14.12,9.57,7.35,17.13,8.22
1904,14.50,8.56,5.85,17.71,8.09
1905,14.39,9.42,6.83,17.01,8.23
1906,14.81,10.56,7.61,17.35,8.38
1907,14.34,9.32,6.48,17.50,7.95
1908,14.01,10.68,7.85,16.83,8.19
1909,14.05,9.89,7.43,16.66,8.18
1910,14.17,10.20,7.62,18.17,8.22
1911,13.46,10.87,7.73,16.64,8.18
1912,13.95,8.95,7.16,15.99,8.17
1913,14.38,10.83,8.58,16.43,8.30
1914,14.33,10.20,6.89,17.53,8.59
1915,14.30,9.98,7.98,16.79,8.59
1916,13.61,9.84,7.05,16.40,8.23
1917,14.06,8.06,6.04,16.71,8.02
1918,14.14,10.06,7.17,17.02,8.13
1919,13.60,10.64,7.90,16.92,8.38
1920,13.72,9.83,7.16,16.62,8.36
1921,14.24,12.28,8.52,17.85,8.57
1922,13.61,10.92,7.71,16.96,8.41
1923,14.13,10.12,7.07,16.84,8.42
1924,14.10,8.77,6.88,17.13,8.51
1925,14.34,9.93,7.68,17.26,8.53
1926,15.14,9.12,6.39,17.99,8.73
1927,14.24,10.54,7.99,17.41,8.52
1928,14.32,10.21,7.81,17.53,8.63
1929,14.25,9.28,7.70,17.11,8.24
1930,14.25,10.79,8.21,16.95,8.63
1931,14.93,12.39,8.74,17.66,8.72
1932,14.24,10.61,8.19,17.00,8.71
1933,13.93,11.09,7.89,17.13,8.34
1934,15.31,10.87,7.29,19.21,8.63
1935,14.12,10.01,7.30,17.39,8.52
1936,15.13,9.86,7.58,17.94,8.55
1937,14.36,9.99,8.26,17.37,8.70
1938,14.35,11.40,8.38,17.23,8.86
1939,14.81,11.35,7.55,17.58,8.76
1940,15.12,9.67,6.68,18.29,8.76
1941,14.98,11.41,8.16,16.48,8.77
1942,14.20,10.41,8.03,17.53,8.73
1943,14.72,9.72,7.22,18.06,8.76
1944,14.17,10.82,7.87,16.73,8.85
1945,14.41,9.96,7.96,17.00,8.58
1946,13.83,11.40,8.28,17.30,8.68
1947,14.51,10.22,7.96,17.73,8.80
1948,13.65,10.41,7.68,16.59,8.75
1949,13.90,11.18,9.30,16.60,8.59
1950,14.66,9.43,7.85,18.01,8.37
1951,14.06,9.42,8.27,16.98,8.63
1952,14.11,10.91,8.58,17.07,8.64
1953,14.42,11.67,9.33,17.42,8.87
1954,14.18,11.11,8.12,18.13,8.56
1955,13.74,11.01,8.20,16.85,8.63
1956,14.08,10.72,7.45,17.45,8.28
1957,14.59,10.42,8.51,17.34,8.73
1958,15.41,9.90,7.20,18.13,8.77
1959,15.39,10.43,8.41,18.15,8.73
1960,14.59,10.11,7.81,17.90,8.58
1961,14.65,10.58,7.94,17.48,8.80
1962,14.22,9.99,7.09,17.70,8.75
1963,14.19,9.89,7.44,17.50,8.86
1964,14.24,11.06,7.74,16.80,8.41
1965,14.14,10.34,7.49,16.83,8.53
1966,14.74,10.05,7.77,17.73,8.60
1967,14.50,9.84,7.34,17.45,8.70
1968,14.66,10.66,7.55,17.43,8.52
1969,14.51,10.03,7.97,17.63,8.60
1970,14.76,10.34,7.70,17.37,8.70
1971,13.89,10.58,7.79,16.73,8.60
1972,14.25,9.39,7.19,17.40,8.50
1973,14.58,11.55,8.97,17.03,8.95
1974,14.41,10.35,7.86,17.56,8.47
1975,13.82,10.82,8.35,16.69,8.74
1976,14.72,9.79,7.52,17.16,8.35
1977,14.63,10.46,7.88,17.91,8.85
1978,14.96,9.46,7.07,17.46,8.69
1979,14.99,9.37,8.32,17.17,8.73
1980,14.74,10.05,7.54,17.73,8.98
1981,15.22,10.54,8.02,18.63,9.17
1982,14.00,9.99,7.62,16.65,8.64
1983,15.07,10.94,8.54,17.14,9.03
1984,14.97,10.66,8.30,17.44,8.69
1985,14.23,10.11,7.86,17.43,8.66
1986,15.00,10.82,7.84,18.19,8.83
1987,14.95,12.04,7.97,17.48,8.99
1988,15.08,10.86,7.90,17.95,9.20
1989,14.45,9.80,7.51,18.38,8.92
1990,14.73,11.50,9.20,17.64,9.23
1991,14.50,11.58,9.08,17.32,9.18
1992,15.53,10.24,7.40,17.80,8.84
1993,14.97,10.18,7.84,17.31,8.87
1994,14.21,10.56,7.96,18.06,9.04
1995,15.31,10.57,8.13,18.14,9.35
1996,15.56,9.56,7.93,18.77,9.04
1997,15.75,10.14,7.87,18.15,9.20
1998,14.38,12.81,9.63,16.71,9.52
1999,14.41,11.72,9.30,17.87,9.29
2000,15.02,11.09,8.00,18.51,9.20
2001,15.25,11.70,8.91,18.50,9.41
2002,15.00,11.53,9.02,18.20,9.57
2003,15.43,10.48,7.78,18.65,9.53
2004,15.37,10.94,8.09,17.96,9.32
2005,15.17,11.58,8.56,17.95,9.70
2006,15.02,11.87,9.48,18.11,9.53
2007,14.94,11.45,8.36,18.55,9.73
2008,15.05,10.24,8.53,18.10,9.43
2009,15.02,10.30,8.07,18.04,9.51
2010,14.67,11.82,9.58,17.65,9.70
2011,14.50,11.21,9.12,17.35,9.52
2012,15.05,12.82,10.06,18.81,9.51
2013,16.23,11.59,10.38,20.54,9.61
